Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
Encuentro por la convivencia y el diálogo en Plaza de Mayo,Acto partidario,,🔍 Buscar video,01/04/2008,CFK-20080401-01,,Plaza de Mayo,,Argentina,Capital Federal,,,No,,
"Firma del acta inicio de obras para el NOA ",,,🔍 Buscar video,07/05/2008,CFK-20080507-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Visita al colegio “Exodo jujeño”,,,🔍 Buscar video,08/05/2008,CFK-20080508-01,San Salvador de Jujuy,,,Argentina,Jujuy,,,No,,
Asunción de Néstor Kirchner como presidente del Partido Justicialista,Acto partidario,,🔍 Buscar video,14/05/2008,CFK-20080514-01,Tres de Febrero,Estadio Tres de Febrero (Club Almagro),,Argentina,Buenos Aires,,,No,,
Inauguración del edificio del colegio secundario n°3 “Éxodo jujeño”,,,🔍 Buscar video,08/05/2008,CFK-20080508-02,San Salvador de Jujuy,,,Argentina,Jujuy,,,No,,
Visita a la ciudad de Córdoba,Universidades Nacionales,,🔍 Buscar video,12/02/2008,CFK-20080212-01,Córdoba,Universidad Nacional de Córdoba,,Argentina,Córdoba,,,No,,
Inauguración Cooperativa Textil Tupac Amaru,,,🔍 Buscar video,08/05/2008,CFK-20080508-03,San Salvador de Jujuy,,,Argentina,Jujuy,,,No,,
Presentación del Centro de Estudios Estratégicos para la Defensa Manuel Belgrano,,,🔍 Buscar video,09/05/2008,CFK-20080509-02,,Edificio Libertador,,Argentina,Capital Federal,,,No,,
Almuerzo de honor ofrecido canciller de federal de la República de Austria,Visitas de mandatarios extranjeros,,🔍 Buscar video,09/05/2008,CFK-20080509-01,,Palacio San Martín,,Argentina,Capital Federal,,,No,,
Firma de Convenios Bilaterales con la República de Austria,Visitas de mandatarios extranjeros,,🔍 Buscar video,09/05/2008,CFK-20080509-03,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Acto de entrega de certificados al primer curso universitario de formación de posgrado para médicos de cabecera de PAMI,,,🔍 Buscar video,12/05/2008,CFK-20080512-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Inicio de obras habitacionales del noreste argentino,,,🔍 Buscar video,15/05/2008,CFK-20080515-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Firma de inicio de obras para soluciones habitacionales para la región patagónica,,,🔍 Buscar video,22/05/2008,CFK-20080522-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Inauguración del policlínico San Antonio de Anchorena,,,🔍 Buscar video,22/05/2008,CFK-20080522-02,,Estadio Luna Park,,Argentina,Capital Federal,,,No,,
198° aniversario de la revolución de mayo,Revolución de mayo,,🔍 Buscar video,25/05/2008,CFK-20080525-01,Salta,,,Argentina,Salta,,https://goo.su/sDoTuaQ,No,,https://goo.su/sDoTuaQ
